,id,uid,name,lat,lng,address,postal_code,city_id,city_name,city_insee,city_tier,phone,email,since,created_at,network_name,conservation_care,funeral_organization,management_and_use_of_funeral_chambers,provide_hearses_and_mourning_cars,supply_covers_coffins_interior_exterior_accessories_urns,supply_personnel_items_services,transport_body_before_after_burial,habilitation_issued_at,habilitation_expired_at,habilitation_number,cinerary_monuments,deceased_transport,establishment_pictures,establishment_video,funeral_accessories_and_urns,marble_services,monuments_maintenance,mpf_url,online_administrative_procedures,online_death_notice,online_quote_request,permanence_days,siret_number,religion,undertaker_type,status
0,38437,e97f1f709d105074,AIN FUNERAIRES,46.2284033,5.2295099,"82, route de Marboz",01000,563,Bourg-en-Bresse,01053,1,0645488584,ain.funeraire@orange.fr,,2020-10-23 10:11:50.183823,Services funéraires Sublimatorium Florian Leclerc,0,1,0,1,1,1,1,,,,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/bourg-en-bresse/pompes-funebres-florian-leclerc-sublimatorium,0,0,0,1,,-1,0,0
1,38438,cfa5ef8f3d36d26a,Pompes Funèbres BOUVET,46.2144831,5.234217,17 avenue de l'Egalité,01000,563,Bourg-en-Bresse,01053,1,0474220102,contact.bourg@pfbouvet.com,,2020-10-23 10:11:50.609249,FUNÉPLUS,1,1,1,1,1,1,1,,,20-01-0050,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/bourg-en-bresse/pompes-funebres-bouvet,-1,0,0,1,384 089 124 00075,-1,0,0
2,38439,3e0d898e555bd72e,Pompes Funèbres Générales,46.21431,5.2336205,15 avenue de l'Egalité,01000,563,Bourg-en-Bresse,01053,1,0474226104,Agence-BourgEnBresse-1@PFG.FR,,2020-10-23 10:11:50.739419,PFG Services Funéraires,0,1,1,1,1,1,1,,,,-1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/bourg-en-bresse/pfg-pompes-funebres-generales,1,1,1,1,,-1,0,0
3,38440,a5e2122c22af9d34,Pompes Funèbres Oyonnax,46.2580303,5.6554508,10 avenue Jean Jaurès,01100,463,Oyonnax,01283,2,0474770095,jolletp@wanadoo.fr,,2020-10-23 10:11:50.855313,,1,1,1,1,1,1,1,,,,0,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/oyonnax/pompes-funebres-oyonnax,0,0,0,1,,-1,0,0
4,38441,61b8cc9a659ab6e8,Pompes Funèbres d'Oyonnax,46.2453149,5.6391421,73 rue Brillat Savarin,01100,463,Oyonnax,01283,2,0474770095,jolletp@wanadoofr,,2020-10-23 10:11:50.987493,,1,1,1,1,1,1,1,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,2
5,38442,a1bb06803e466fda,Pompes Funèbres Marbrerie Comtet,46.2640192,5.6328115,11 rue des Chérolles,01100,463,Oyonnax,01283,2,0474120420,Agence-Oyonnax-1@DIGNITE.FR,,2020-10-23 10:11:51.123198,Dignité Funéraire,1,1,1,1,1,1,1,,,18.01.211,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/oyonnax/comtet-funeraire,0,1,1,1,799 726 815 00019,-1,0,0
6,38444,ac604b10cd0af52e,Pompes Funèbres Générales,45.9749503,5.5993641,229 avenue de Lyon,01110,226,Hauteville-Lompnes,01185,2,0474353031,Agence-HautevilleLompnes-1@PFG.FR,,2020-10-23 10:11:51.385996,PFG Services Funéraires,0,1,1,1,1,1,1,,,,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/hauteville-lompnes/pompes-funebres-generales-pfg,0,1,1,1,,-1,0,0
7,38445,12a3655caecb8d38,La Maison des Obsèques - Ets Lefèvre,46.1799965,4.8116769,416 rue Joseph Berlioz,01140,244,Saint-Didier-sur-Chalaronne,01348,2,0474669459,,,2020-10-23 10:11:51.568595,La Maison des obsèques,1,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/chatillon-sur-chalaronne/la-maison-des-obseques-ets-goyon-saint-didier-sur-chalaronne,0,1,1,1,,-1,0,0
8,38446,f46f1e896ced78eb,Marbrerie Pompes Funèbres de Lagnieu,45.9033566,5.3488755,25 rue Pasteur,01150,386,Lagnieu,01202,2,0474401533,,,2020-10-23 10:11:51.718313,,0,1,1,1,1,1,1,,,,-1,-1,-1,-1,1,1,1,https://meilleures-pompes-funebres.com/01/lagnieu/marbrerie-pompes-funebres-lagnieu,-1,-1,-1,1,407 864 677 00023,-1,0,0
9,38447,a93f58f59774c59b,Pompes Funèbres Générales,46.3246316,6.0545965,831 Route de Lyon,01170,599,Gex,01173,2,0450415107,Agence-Gex-1@PFG.FR,,2020-10-23 10:11:51.860295,PFG Services Funéraires,1,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/gex/pompes-funebres-generales-pfg,0,1,1,1,542 076 799 09487,-1,0,0
10,38448,24a901e810bfa29d,Pompes Funèbres Marbrerie Funeralp,46.3296689,6.0566641,243 avenue Francis Blanchard,01170,599,Gex,01173,2,0465663583,gex@pompesfunebresfuneralp.fr,,2020-10-23 10:11:51.994496,,1,1,0,1,1,1,1,,,16.01.161,0,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/gex/sarl-white-wings,0,1,1,1,520 338 997 00015,-1,0,0
11,38449,93a8278d3e12b4db,Espace Funéraire Carrara,46.3857841,4.9147939,23 impasse en Chossagne,01190,189,Ozan,01284,2,0385514949,,,2020-10-23 10:11:52.126236,,1,1,1,1,1,1,1,,,,0,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/ozan/espace-funeraire-carrara,1,1,0,1,332 085 943 00055,-1,0,0
12,38450,9aa3e3084461fabe,Pompes Funèbres et Marbrerie Taton,46.4310668,4.937537,"46, rue Maréchal de Lattre",01190,389,Pont-de-Vaux,01305,2,0385303207,Agence-Pont-De-Vaux-1@DIGNITE.FR,,2020-10-23 10:11:52.256290,Dignité Funéraire,0,1,1,1,1,1,1,,,,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/pont-de-vaux/pompes-funebres-regionales-taton,0,1,1,1,542 076 799 24437,-1,0,0
13,38451,77d4e2d13cf8f9dd,Marbrerie CARRARA,46.4303078,4.9407515,"17, rue Adrien Thierry",01190,389,Pont-de-Vaux,01305,2,0385366880,direction@espacecarraracom,,2020-10-23 10:11:52.381404,,0,1,0,1,1,1,1,,,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,2,4
14,38452,62ea8e5b7aa01530,Pompes Funèbres et Marbrerie Gandy,46.1083064,5.8287133,6-8 rue de la République,01200,562,Bellegarde-sur-Valserine,01033,2,0682588368,gandypompesfunebres@gmail.com,,2020-10-23 10:11:52.512469,,0,1,1,1,0,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/bellegarde-sur-valserine/gandy-pompes-funebres-marbrerie,0,0,0,1,,-1,0,0
15,38453,d1c98172f113b9eb,Pompes Funèbres Générales,46.1177034,5.8213274,12 chemin du cimetière,01200,562,Bellegarde-sur-Valserine,01033,2,0450566352,Agence-Bellegarde-1@PFG.FR,,2020-10-23 10:11:52.635178,PFG Services Funéraires,1,1,1,1,1,1,1,,,,1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/bellegarde-sur-valserine/pompes-funebres-generales-pfg,0,1,1,1,542 076 799 09479,-1,0,0
16,38454,c3736f7edecc1add,GANDY Pompes Funèbres et Marbrerie,46.2512711,6.1179092,01 chemin du Nant,01210,417,Ferney-Voltaire,01160,2,0682588368,,,2020-10-23 10:11:52.801566,,1,1,1,1,1,1,1,,,,1,1,1,0,1,1,1,https://meilleures-pompes-funebres.com/01/ferney-voltaire/gandy-pompes-funebres-marbrerie,0,0,1,1,,-1,0,0
17,38455,67d8d3295e09166e,Pompes Funèbres Ain Bugey,45.9491084,5.4409995,90 Rue Dr Temporal,01230,543,Saint-Rambert-en-Bugey,01384,2,0474362135,pf.ainbugey2@orange.fr,,2020-10-23 10:11:52.920417,,0,1,1,1,1,1,1,,,1201176,1,1,1,1,1,1,1,https://meilleures-pompes-funebres.com/01/saint-rambert-en-bugey/pompes-funebres-ain-bugey-rambert-en-bugey,0,0,1,1,,-1,0,0
18,38456,5fcfd39142dd8185,Pompes Funèbres S.S.M,46.1829262,5.3093546,zone Artisanale en Domagne,01250,518,Ceyzériat,01072,2,0474250505,ssmsarl@orange.fr,,2020-10-23 10:11:53.057330,,0,1,1,1,1,1,1,,,,-1,1,0,0,1,1,1,https://meilleures-pompes-funebres.com/01/ceyzeriat/s-s-m-depannage,0,0,0,1,384 952 404 00026,-1,0,0
